dataset_name,top_1_algorithm,top_2_algorithm,top_3_algorithm
openml__APSFailure__168868,CatBoost,LightGBM,XGBoost
openml__Amazon_employee_access__34539,CatBoost,FTTransformer,SAINT
openml__Australian__146818,CatBoost,LightGBM,RandomForest
openml__Bioresponse__9910,LightGBM,XGBoost,CatBoost
openml__CIFAR_10__167124,XGBoost,TabNet,TabTransformer
openml__Census-Income__168340,LightGBM,CatBoost,XGBoost
openml__Click_prediction_small__190408,CatBoost,LightGBM,XGBoost
openml__Devnagari-Script__167121,ResNet,TabNet,XGBoost
openml__Fashion-MNIST__146825,XGBoost,TabNet,TabTransformer
openml__GesturePhaseSegmentationProcessed__14969,LightGBM,XGBoost,CatBoost
openml__Internet-Advertisements__167125,MLP-rtdl,MLP,LinearModel
openml__JapaneseVowels__3510,SAINT,DANet,CatBoost
openml__LED-display-domain-7digit__125921,LinearModel,CatBoost,SAINT
openml__MagicTelescope__3954,DANet,CatBoost,TabNet
openml__MiceProtein__146800,HyperFast,ResNet,TabPFN
openml__MiniBooNE__168335,LightGBM,XGBoost,CatBoost
openml__PhishingWebsites__14952,LightGBM,ResNet,XGBoost
openml__Satellite__167211,TabPFN,TabSmall,HyperFast
openml__SpeedDating__146607,XGBoost,LightGBM,CatBoost
openml__acute-inflammations__10089,CatBoost,DANet,DecisionTree
openml__ada_agnostic__3896,CatBoost,XGBoost,DeepFM
openml__adult-census__3953,XGBoost,LightGBM,CatBoost
openml__adult__7592,XGBoost,LightGBM,CatBoost
openml__airlines__189354,LightGBM,XGBoost,CatBoost
openml__albert__189356,CatBoost,ResNet,XGBoost
openml__analcatdata_authorship__3549,Ours-1,Ours-2,TabPFN
openml__analcatdata_boxing1__3540,MLP-rtdl,DeepFM,SAINT
openml__analcatdata_chlamydia__3739,MLP-rtdl,SAINT,Ours-2
openml__analcatdata_dmft__3560,RandomForest,Ours-2,TabSmall
openml__anneal__2867,RandomForest,CatBoost,Ours-1
openml__arrhythmia__5,XGBoost,LinearModel,CatBoost
openml__artificial-characters__14964,XGBoost,LightGBM,CatBoost
openml__audiology__7,SAINT,DANet,XGBoost
openml__autos__9,CatBoost,Ours-1,TabPFN
openml__balance-scale__11,Ours-2,TabSmall,Ours-1
openml__bank-marketing__14965,LightGBM,FTTransformer,ResNet
openml__bank-marketing__9899,CatBoost,LightGBM,XGBoost
openml__banknote-authentication__10093,DeepFM,FTTransformer,HyperFast
openml__blood-transfusion-service-center__10101,FTTransformer,ResNet,TabPFN
openml__blood-transfusion-service-center__145836,TabPFN,ResNet,Ours-2
openml__breast-cancer__145799,NODE,Ours-1,Ours-2
openml__breast-w__15,LinearModel,MLP,Ours-1
openml__car-evaluation__146192,SAINT,ResNet,SVM
openml__car__146821,ResNet,SAINT,STG
openml__cardiotocography__9979,CatBoost,HyperFast,LightGBM
openml__chess__3952,SAINT,XGBoost,LightGBM
openml__christine__168908,NODE,XGBoost,CatBoost
openml__churn__167141,CatBoost,NODE,LightGBM
openml__cjs__14967,CatBoost,FTTransformer,SAINT
openml__climate-model-simulation-crashes__146819,TabPFN,FTTransformer,DeepFM
openml__cmc__23,Ours-2,TabSmall,NODE
openml__cnae-9__9981,TabTransformer,NODE,STG
openml__colic__25,XGBoost,CatBoost,RandomForest
openml__colic__27,XGBoost,CatBoost,Ours-1
openml__collins__3567,CatBoost,DecisionTree,FTTransformer
openml__connect-4__146195,SAINT,LightGBM,XGBoost
openml__covertype__7593,LightGBM,KNN,RandomForest
openml__credit-approval__29,XGBoost,CatBoost,Ours-1
openml__credit-g__31,ResNet,DeepFM,FTTransformer
openml__cylinder-bands__14954,HyperFast,XGBoost,RandomForest
openml__dermatology__35,Ours-1,TabPFN,Ours-2
openml__diabetes__37,Ours-2,TabSmall,Ours-1
openml__dilbert__168909,DANet,STG,TabTransformer
openml__dna__167140,XGBoost,STG,SVM
openml__dresses-sales__125920,SAINT,RandomForest,FTTransformer
openml__ecoli__145977,Ours-2,TabSmall,RandomForest
openml__eeg-eye-state__14951,KNN,LightGBM,XGBoost
openml__electricity__219,LightGBM,XGBoost,FTTransformer
openml__elevators__3711,TabNet,HyperFast,TabFlex
openml__eucalyptus__2079,Ours-1,TabPFN,Ours-2
openml__eye_movements__3897,LightGBM,XGBoost,CatBoost
openml__fabert__168910,STG,LightGBM,XGBoost
openml__fertility__9984,LightGBM,TuneTables,DecisionTree
openml__first-order-theorem-proving__9985,LightGBM,XGBoost,RandomForest
openml__fl2000__3566,TabPFN,LightGBM,CatBoost
openml__fri_c0_100_5__3620,ResNet,FTTransformer,MLP-rtdl
openml__fri_c3_100_5__3779,TabPFN,NODE,FTTransformer
openml__gas-drift-different-concentrations__9987,LightGBM,XGBoost,CatBoost
openml__gas-drift__9986,LightGBM,CatBoost,DANet
openml__gina_agnostic__3891,CatBoost,LightGBM,DANet
openml__glass__40,Ours-2,TabSmall,Ours-1
openml__guillermo__168337,XGBoost,RandomForest,TabNet
openml__haberman__42,ResNet,SVM,TabPFN
openml__har__14970,XGBoost,LightGBM,DANet
openml__hayes-roth__146063,LightGBM,Ours-2,TabSmall
openml__heart-c__48,SAINT,DeepFM,NODE
openml__heart-h__50,TabTransformer,SAINT,MLP-rtdl
openml__helena__168329,SAINT,TabNet,STG
openml__hepatitis__54,TabPFN,TabTransformer,DeepFM
openml__higgs__146606,ResNet,LightGBM,XGBoost
openml__hill-valley__145847,TabTransformer,LinearModel,ResNet
openml__house_16H__3686,LightGBM,CatBoost,XGBoost
openml__ilpd__9971,TabPFN,Ours-1,LinearModel
openml__ionosphere__145984,ResNet,Ours-1,TabPFN
openml__iris__59,NODE,LinearModel,Ours-2
openml__irish__3543,CatBoost,DecisionTree,DeepFM
openml__isolet__3481,SVM,DANet,ResNet
openml__jannis__168330,XGBoost,LightGBM,TabNet
openml__jasmine__168911,RandomForest,XGBoost,CatBoost
openml__jm1__3904,RandomForest,CatBoost,LightGBM
openml__jungle_chess_2pcs_raw_endgame_complete__167119,SAINT,FTTransformer,TabNet
openml__kc1__3917,Ours-1,TabPFN,RandomForest
openml__kc2__3913,Ours-2,TabSmall,DANet
openml__kr-vs-kp__3,SVM,ResNet,MLP-rtdl
openml__kropt__2076,SAINT,XGBoost,LightGBM
openml__labor__4,DeepFM,FTTransformer,HyperFast
openml__ldpa__9974,XGBoost,LightGBM,CatBoost
openml__letter__6,SAINT,SVM,LightGBM
openml__libras__360948,SAINT,DANet,HyperFast
openml__lung-cancer__146024,MLP,Ours-2,TabSmall
openml__lymph__10,XGBoost,TabTransformer,SAINT
openml__madelon__9976,CatBoost,XGBoost,LightGBM
openml__magic__146206,DANet,CatBoost,TabNet
openml__mfeat-factors__12,ResNet,HyperFast,SVM
openml__mfeat-fourier__14,SVM,SAINT,STG
openml__mfeat-karhunen__16,SVM,HyperFast,ResNet
openml__mfeat-morphological__18,HyperFast,Ours-1,TabPFN
openml__mfeat-pixel__146824,SVM,CatBoost,SAINT
openml__mfeat-zernike__22,SVM,DANet,TuneTables
openml__mnist_784__3573,TabTransformer,ResNet,LightGBM
openml__monks-problems-2__146065,FTTransformer,HyperFast,MLP-rtdl
openml__mushroom__24,CatBoost,DecisionTree,DeepFM
openml__musk__3950,CatBoost,DecisionTree,LinearModel
openml__nomao__9977,LightGBM,XGBoost,CatBoost
openml__numerai28.6__167120,FTTransformer,MLP-rtdl,MLP
openml__nursery__9892,DANet,ResNet,SAINT
openml__one-hundred-plants-texture__9956,CatBoost,XGBoost,ResNet
openml__optdigits__28,SVM,ResNet,DANet
openml__ozone-level-8hr__9978,Ours-1,TabPFN,ResNet
openml__page-blocks__30,TabSmall,TabPFN,CatBoost
openml__pc1__3918,TabPFN,Ours-1,CatBoost
openml__pc3__3903,Ours-1,TabPFN,TabFlex
openml__pc4__3902,Ours-1,TabPFN,Ours-2
openml__pendigits__32,SVM,LightGBM,XGBoost
openml__philippine__190410,XGBoost,LightGBM,CatBoost
openml__phoneme__9952,XGBoost,LightGBM,RandomForest
openml__poker-hand__9890,CatBoost,XGBoost,Ours-1
openml__pollen__3735,DecisionTree,LightGBM,CatBoost
openml__postoperative-patient-data__146210,SVM,KNN,DeepFM
openml__primary-tumor__146032,SAINT,CatBoost,STG
openml__profb__3561,CatBoost,DeepFM,MLP-rtdl
openml__qsar-biodeg__9957,TabPFN,Ours-1,Ours-2
openml__rabe_266__3647,DeepFM,HyperFast,NODE
openml__riccardo__168338,LightGBM,XGBoost,MLP
openml__robert__168332,XGBoost,DANet,TabTransformer
openml__satimage__2074,SAINT,STG,DANet
openml__scene__3485,FTTransformer,SAINT,STG
openml__segment__146822,XGBoost,RandomForest,LightGBM
openml__semeion__9964,SVM,HyperFast,VIME
openml__shuttle__146212,XGBoost,LightGBM,RandomForest
openml__sick__3021,LightGBM,CatBoost,XGBoost
openml__skin-segmentation__9965,XGBoost,LightGBM,RandomForest
openml__socmob__3797,XGBoost,CatBoost,DeepFM
openml__solar-flare__2068,MLP-rtdl,SAINT,STG
openml__sonar__39,SVM,HyperFast,ResNet
openml__soybean__41,XGBoost,RandomForest,SAINT
openml__spambase__43,XGBoost,LightGBM,SAINT
openml__splice__45,SAINT,XGBoost,LightGBM
openml__steel-plates-fault__146817,LightGBM,XGBoost,Ours-1
openml__sylva_agnostic__3889,CatBoost,LightGBM,XGBoost
openml__sylvine__168912,LightGBM,CatBoost,TabNet
openml__synthetic_control__3512,SVM,KNN,HyperFast
openml__tae__47,RandomForest,CatBoost,XGBoost
openml__texture__125922,ResNet,SAINT,SVM
openml__tic-tac-toe__49,SVM,SAINT,MLP-rtdl
openml__transplant__3748,CatBoost,DANet,FTTransformer
openml__vehicle__53,TabPFN,Ours-1,HyperFast
openml__visualizing_environmental__3602,ResNet,DANet,SAINT
openml__visualizing_livestock__3731,SAINT,CatBoost,ResNet
openml__volkert__168331,LightGBM,XGBoost,TabNet
openml__vowel__3022,SAINT,SVM,ResNet
openml__walking-activity__9945,XGBoost,LightGBM,CatBoost
openml__wall-robot-navigation__9960,CatBoost,RandomForest,LightGBM
openml__wdbc__9946,Ours-1,TabPFN,Ours-2
openml__wilt__146820,ResNet,TabFlex,DANet
openml__yeast__145793,CatBoost,SAINT,Ours-2
